"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 11:33:51 EET 2023","Wed Nov 15 11:33:54 EET 2023","3230","firefox","Reporters.spec.js","","","","Test1",""
"failed","Wed Nov 15 11:31:46 EET 2023","Wed Nov 15 11:31:50 EET 2023","4792","firefox","Reporters.spec.js","","","","Test3",""
"failed","Wed Nov 15 11:31:44 EET 2023","Wed Nov 15 11:31:45 EET 2023","963","chromium","Reporters.spec.js","","","","Test2",""
"failed","Wed Nov 15 11:31:51 EET 2023","Wed Nov 15 11:31:52 EET 2023","1077","webkit","Reporters.spec.js","","","","Test2",""
"passed","Wed Nov 15 11:45:05 EET 2023","Wed Nov 15 11:45:13 EET 2023","8355","chromium","HandleInnerFrames.spec.js","","","","Inner rames",""
"failed","Wed Nov 15 11:31:45 EET 2023","Wed Nov 15 11:31:50 EET 2023","5014","firefox","Reporters.spec.js","","","","Test2",""
"passed","Wed Nov 15 11:34:14 EET 2023","Wed Nov 15 11:34:16 EET 2023","1561","chromium","Reporters.spec.js","","","","Test1",""
"passed","Wed Nov 15 11:46:45 EET 2023","Wed Nov 15 11:46:53 EET 2023","8287","chromium","HandleInnerFrames.spec.js","","","","Inner frames",""
"failed","Wed Nov 15 11:33:51 EET 2023","Wed Nov 15 11:33:52 EET 2023","1173","webkit","Reporters.spec.js","","","","Test1",""
"failed","Wed Nov 15 11:31:50 EET 2023","Wed Nov 15 11:31:51 EET 2023","1199","webkit","Reporters.spec.js","","","","Test3",""
"failed","Wed Nov 15 11:31:44 EET 2023","Wed Nov 15 11:31:45 EET 2023","1045","chromium","Reporters.spec.js","","","","Test3",""
